name	sample_age	pop	node_id	left	right	length
EUR_13	40000	EUR	28	17570068	17677110	107042
EUR_13	40000	EUR	28	24382361	24461111	78750
EUR_13	40000	EUR	28	41829305	42020526	191221
EUR_13	40000	EUR	28	43738690	43964791	226101
EUR_13	40000	EUR	28	48649342	48703675	54333
EUR_13	40000	EUR	28	49544217	49601390	57173
EUR_13	40000	EUR	28	59241657	59332986	91329
EUR_13	40000	EUR	28	81191544	81398798	207254
EUR_13	40000	EUR	28	91638789	91703631	64842
EUR_13	40000	EUR	28	94353280	94469831	116551
EUR_13	40000	EUR	29	769170	851649	82479
EUR_13	40000	EUR	29	7238212	7243959	5747
EUR_13	40000	EUR	29	40659645	40677841	18196
EUR_13	40000	EUR	29	42728557	42733645	5088
EUR_13	40000	EUR	29	43870728	44585182	714454
EUR_13	40000	EUR	29	44978785	45157410	178625
EUR_13	40000	EUR	29	52738356	52998202	259846
EUR_13	40000	EUR	29	58459969	58518517	58548
EUR_13	40000	EUR	29	68743434	68761435	18001
EUR_13	40000	EUR	29	96361273	96660556	299283
EUR_13	40000	EUR	29	97440234	97496907	56673
EUR_14	40000	EUR	30	47254841	47367591	112750
EUR_14	40000	EUR	30	59110943	59332986	222043
EUR_14	40000	EUR	30	61783946	61855535	71589
EUR_14	40000	EUR	30	96516924	96580548	63624
EUR_14	40000	EUR	30	97080789	97450014	369225
EUR_14	40000	EUR	31	23297772	23429319	131547
EUR_14	40000	EUR	31	38563900	38741562	177662
EUR_14	40000	EUR	31	39948868	40022622	73754
EUR_14	40000	EUR	31	42483552	42733645	250093
EUR_14	40000	EUR	31	62103103	62393907	290804
EUR_14	40000	EUR	31	80548535	80579938	31403
EUR_14	40000	EUR	31	92896400	93066186	169786
EUR_14	40000	EUR	31	94353280	94443251	89971
EUR_14	40000	EUR	31	96189302	96242036	52734
EUR_14	40000	EUR	31	97385221	97555603	170382
EUR_14	40000	EUR	31	98015418	98531216	515798
EUR_15	40000	EUR	32	1053803	1324715	270912
EUR_15	40000	EUR	32	13004996	13033152	28156
EUR_15	40000	EUR	32	29701542	29948993	247451
EUR_15	40000	EUR	32	39857453	39878985	21532
EUR_15	40000	EUR	32	43738690	44068363	329673
EUR_15	40000	EUR	32	58109735	58323855	214120
EUR_15	40000	EUR	32	68504776	68628214	123438
EUR_15	40000	EUR	32	81009893	81054615	44722
EUR_15	40000	EUR	32	82078541	82184890	106349
EUR_15	40000	EUR	32	83815164	84307244	492080
EUR_15	40000	EUR	32	90064174	90143197	79023
EUR_15	40000	EUR	32	92177060	92267056	89996
EUR_15	40000	EUR	32	96355936	96683415	327479
EUR_15	40000	EUR	32	97155066	97432847	277781
EUR_15	40000	EUR	33	728248	856407	128159
EUR_15	40000	EUR	33	13281508	13576509	295001
EUR_15	40000	EUR	33	15347253	15411577	64324
EUR_15	40000	EUR	33	26516316	26571501	55185
EUR_15	40000	EUR	33	39208678	39687617	478939
EUR_15	40000	EUR	33	45306063	45311653	5590
EUR_15	40000	EUR	33	68504776	68619303	114527
EUR_15	40000	EUR	33	70766607	70895780	129173
EUR_15	40000	EUR	33	81014349	81213693	199344
EUR_15	40000	EUR	33	81304497	81504700	200203
EUR_15	40000	EUR	33	82194314	82200023	5709
EUR_15	40000	EUR	33	98417659	98531216	113557
EUR_16	40000	EUR	34	552966	636743	83777
EUR_16	40000	EUR	34	17878950	18058632	179682
EUR_16	40000	EUR	34	19517580	19518164	584
EUR_16	40000	EUR	34	24579567	24893691	314124
EUR_16	40000	EUR	34	28812235	28855468	43233
EUR_16	40000	EUR	34	42407528	42620332	212804
EUR_16	40000	EUR	34	43296519	43379916	83397
EUR_16	40000	EUR	34	43988859	44068363	79504
EUR_16	40000	EUR	34	50913148	50937770	24622
EUR_16	40000	EUR	34	51573235	51662775	89540
EUR_16	40000	EUR	34	56179707	56371898	192191
EUR_16	40000	EUR	34	58969716	59332986	363270
EUR_16	40000	EUR	34	60380695	60482764	102069
EUR_16	40000	EUR	34	71036930	71181204	144274
EUR_16	40000	EUR	34	75606915	75641923	35008
EUR_16	40000	EUR	34	81009893	81054615	44722
EUR_16	40000	EUR	34	82792580	82973196	180616
EUR_16	40000	EUR	34	93383161	93828743	445582
EUR_16	40000	EUR	35	13587268	14014024	426756
EUR_16	40000	EUR	35	17322398	17523669	201271
EUR_16	40000	EUR	35	17878950	18445102	566152
EUR_16	40000	EUR	35	18457319	18534284	76965
EUR_16	40000	EUR	35	23358513	23429319	70806
EUR_16	40000	EUR	35	40157339	40417283	259944
EUR_16	40000	EUR	35	42625863	43072940	447077
EUR_16	40000	EUR	35	54033120	54261603	228483
EUR_16	40000	EUR	35	67684923	67800157	115234
EUR_16	40000	EUR	35	78844929	79061760	216831
EUR_16	40000	EUR	35	96516924	96580548	63624
EUR_17	40000	EUR	36	769170	851649	82479
EUR_17	40000	EUR	36	11227625	11269996	42371
EUR_17	40000	EUR	36	23412278	23429319	17041
EUR_17	40000	EUR	36	38699979	38720279	20300
EUR_17	40000	EUR	36	39617781	39818924	201143
EUR_17	40000	EUR	36	43367614	43516887	149273
EUR_17	40000	EUR	36	45060744	45290835	230091
EUR_17	40000	EUR	36	48285935	48409774	123839
EUR_17	40000	EUR	36	48771574	48879788	108214
EUR_17	40000	EUR	36	77975853	78031459	55606
EUR_17	40000	EUR	36	81104827	81342840	238013
EUR_17	40000	EUR	36	81966753	82028620	61867
EUR_17	40000	EUR	36	82840798	82864415	23617
EUR_17	40000	EUR	36	93462874	93585662	122788
EUR_17	40000	EUR	36	98224591	98551540	326949
EUR_17	40000	EUR	37	13103822	13216479	112657
EUR_17	40000	EUR	37	18304716	18324503	19787
EUR_17	40000	EUR	37	40016360	40022622	6262
EUR_17	40000	EUR	37	41360304	41481368	121064
EUR_17	40000	EUR	37	43316208	44169821	853613
EUR_17	40000	EUR	37	47254841	47367591	112750
EUR_17	40000	EUR	37	53052426	53364310	311884
EUR_17	40000	EUR	37	61783946	61855535	71589
EUR_18	40000	EUR	38	9872720	10267925	395205
EUR_18	40000	EUR	38	17322398	17839022	516624
EUR_18	40000	EUR	38	17897480	18062901	165421
EUR_18	40000	EUR	38	38563900	38741562	177662
EUR_18	40000	EUR	38	39948868	40022622	73754
EUR_18	40000	EUR	38	43266652	43901647	634995
EUR_18	40000	EUR	38	51573235	51662775	89540
EUR_18	40000	EUR	38	56564373	56595794	31421
EUR_18	40000	EUR	38	59016614	59194832	178218
EUR_18	40000	EUR	38	68377495	68415921	38426
EUR_18	40000	EUR	38	74125277	74212775	87498
EUR_18	40000	EUR	39	27975709	28054263	78554
EUR_18	40000	EUR	39	44916768	45118243	201475
EUR_18	40000	EUR	39	45586496	45847138	260642
EUR_18	40000	EUR	39	50959202	51189070	229868
EUR_18	40000	EUR	39	51328070	51580856	252786
EUR_18	40000	EUR	39	55393326	55625987	232661
EUR_18	40000	EUR	39	59016614	59194832	178218
EUR_18	40000	EUR	39	71923760	72029098	105338
EUR_18	40000	EUR	39	81009893	81054615	44722
EUR_18	40000	EUR	39	82119098	82199407	80309
EUR_19	40000	EUR	40	40016360	40022622	6262
EUR_19	40000	EUR	40	44106421	44374906	268485
EUR_19	40000	EUR	40	58219330	58269219	49889
EUR_19	40000	EUR	40	70003678	70213639	209961
EUR_19	40000	EUR	40	77809606	77913721	104115
EUR_19	40000	EUR	40	80548535	80579938	31403
EUR_19	40000	EUR	40	90889394	90955645	66251
EUR_19	40000	EUR	40	91476805	91548720	71915
EUR_19	40000	EUR	41	769170	793113	23943
EUR_19	40000	EUR	41	5338780	5394731	55951
EUR_19	40000	EUR	41	15163020	15411577	248557
EUR_19	40000	EUR	41	23288836	23353632	64796
EUR_19	40000	EUR	41	42810018	42842436	32418
EUR_19	40000	EUR	41	48075495	48409774	334279
EUR_19	40000	EUR	41	48586279	48603064	16785
EUR_19	40000	EUR	41	50063319	50067498	4179
EUR_19	40000	EUR	41	74125277	74212775	87498
EUR_19	40000	EUR	41	75860784	76108718	247934
EUR_19	40000	EUR	41	81009893	81054615	44722
EUR_19	40000	EUR	41	81778618	82330872	552254
EUR_19	40000	EUR	41	96491941	96495333	3392
EUR_20	40000	EUR	42	552966	636743	83777
EUR_20	40000	EUR	42	831478	841792	10314
EUR_20	40000	EUR	42	8909944	9277203	367259
EUR_20	40000	EUR	42	9711452	9862222	150770
EUR_20	40000	EUR	42	18578204	18793489	215285
EUR_20	40000	EUR	42	43296519	43657443	360924
EUR_20	40000	EUR	42	43907047	44068363	161316
EUR_20	40000	EUR	42	50913148	50937770	24622
EUR_20	40000	EUR	42	74125277	74212775	87498
EUR_20	40000	EUR	42	74518895	74676435	157540
EUR_20	40000	EUR	42	75009680	75098759	89079
EUR_20	40000	EUR	42	96614285	96657766	43481
EUR_20	40000	EUR	42	98937353	99203562	266209
EUR_20	40000	EUR	43	17322398	17523669	201271
EUR_20	40000	EUR	43	17878950	18445102	566152
EUR_20	40000	EUR	43	18457319	18534284	76965
EUR_20	40000	EUR	43	20718614	20795626	77012
EUR_20	40000	EUR	43	24579567	24893691	314124
EUR_20	40000	EUR	43	38143392	38287902	144510
EUR_20	40000	EUR	43	38563900	38627434	63534
EUR_20	40000	EUR	43	39144761	39687617	542856
EUR_20	40000	EUR	43	50758947	51412164	653217
EUR_20	40000	EUR	43	53736524	53904431	167907
EUR_20	40000	EUR	43	54116774	54127819	11045
EUR_20	40000	EUR	43	61783946	61855535	71589
EUR_20	40000	EUR	43	65961840	66144314	182474
EUR_20	40000	EUR	43	68685459	68734123	48664
EUR_20	40000	EUR	43	84255142	84339034	83892
EUR_20	40000	EUR	43	97188415	97197741	9326
EUR_21	30000	EUR	44	769170	851649	82479
EUR_21	30000	EUR	44	1441880	1515718	73838
EUR_21	30000	EUR	44	11722118	12039259	317141
EUR_21	30000	EUR	44	13103822	13313449	209627
EUR_21	30000	EUR	44	14004476	14067366	62890
EUR_21	30000	EUR	44	14535540	14550699	15159
EUR_21	30000	EUR	44	17989856	17990593	737
EUR_21	30000	EUR	44	20621106	20700868	79762
EUR_21	30000	EUR	44	23957093	24045790	88697
EUR_21	30000	EUR	44	41361972	41469278	107306
EUR_21	30000	EUR	44	41972092	42144978	172886
EUR_21	30000	EUR	44	42810018	42842436	32418
EUR_21	30000	EUR	44	44295944	44343809	47865
EUR_21	30000	EUR	44	45121785	45532740	410955
EUR_21	30000	EUR	44	49734975	49792961	57986
EUR_21	30000	EUR	44	51709450	51791889	82439
EUR_21	30000	EUR	44	55451307	55462587	11280
EUR_21	30000	EUR	44	58155828	58221664	65836
EUR_21	30000	EUR	44	67065642	67115358	49716
EUR_21	30000	EUR	44	71076571	71207030	130459
EUR_21	30000	EUR	44	71451795	71678348	226553
EUR_21	30000	EUR	44	71765760	71795475	29715
EUR_21	30000	EUR	44	81009893	81054615	44722
EUR_21	30000	EUR	44	81300145	81504700	204555
EUR_21	30000	EUR	44	82078541	82184890	106349
EUR_21	30000	EUR	44	94368321	94525107	156786
EUR_21	30000	EUR	44	97497476	97555603	58127
EUR_21	30000	EUR	45	13281508	13342306	60798
EUR_21	30000	EUR	45	19478257	19518164	39907
EUR_21	30000	EUR	45	23909825	23928329	18504
EUR_21	30000	EUR	45	25340595	25724210	383615
EUR_21	30000	EUR	45	38064387	38243803	179416
EUR_21	30000	EUR	45	41212821	42005164	792343
EUR_21	30000	EUR	45	44126816	44192070	65254
EUR_21	30000	EUR	45	45699000	45752794	53794
EUR_21	30000	EUR	45	49902812	49925101	22289
EUR_21	30000	EUR	45	55554014	55625987	71973
EUR_21	30000	EUR	45	56177557	56456899	279342
EUR_21	30000	EUR	45	58155828	58221664	65836
EUR_21	30000	EUR	45	66498150	66623729	125579
EUR_21	30000	EUR	45	66909837	67112415	202578
EUR_21	30000	EUR	45	68335306	68397336	62030
EUR_21	30000	EUR	45	68685459	68734123	48664
EUR_21	30000	EUR	45	69692252	70097255	405003
EUR_21	30000	EUR	45	71548511	71644796	96285
EUR_21	30000	EUR	45	74125277	74212775	87498
EUR_21	30000	EUR	45	75009680	75064111	54431
EUR_21	30000	EUR	45	75164237	75177084	12847
EUR_21	30000	EUR	45	97155066	97576601	421535
EUR_22	30000	EUR	46	859326	932022	72696
EUR_22	30000	EUR	46	13335140	13576509	241369
EUR_22	30000	EUR	46	14004476	14067366	62890
EUR_22	30000	EUR	46	17474176	17507364	33188
EUR_22	30000	EUR	46	28812235	28855468	43233
EUR_22	30000	EUR	46	43901085	43980192	79107
EUR_22	30000	EUR	46	45702572	45803307	100735
EUR_22	30000	EUR	46	46486629	46516848	30219
EUR_22	30000	EUR	46	48586279	48794969	208690
EUR_22	30000	EUR	46	66909837	67115358	205521
EUR_22	30000	EUR	46	67692390	67774116	81726
EUR_22	30000	EUR	46	68743434	68865498	122064
EUR_22	30000	EUR	46	78879421	78929596	50175
EUR_22	30000	EUR	46	82078541	82078950	409
EUR_22	30000	EUR	46	92022500	92167582	145082
EUR_22	30000	EUR	46	93049459	93089362	39903
EUR_22	30000	EUR	46	97440234	97581085	140851
EUR_22	30000	EUR	47	769170	851649	82479
EUR_22	30000	EUR	47	9872720	9930040	57320
EUR_22	30000	EUR	47	13335140	13492075	156935
EUR_22	30000	EUR	47	19999435	20044890	45455
EUR_22	30000	EUR	47	29701542	29948993	247451
EUR_22	30000	EUR	47	35942129	36025828	83699
EUR_22	30000	EUR	47	42483552	42672980	189428
EUR_22	30000	EUR	47	42810018	42842436	32418
EUR_22	30000	EUR	47	54116774	54127819	11045
